i_atoms X_clmds Y_clmds C M sparse
2932 0.001039 0.013312 7 1 1
2942 0.000279 0.014624 7 0 0
2952 0.000311 0.014537 7 0 1
2966 0.003064 0.004984 9 0 0
2972 0.002626 0.005969 9 0 0
2977 0.002626 0.005969 9 0 0
2982 0.002940 0.005228 9 0 0
2994 0.012259 0.036769 0 0 0
3005 0.002156 0.005756 9 0 0
3016 0.002839 0.005672 9 0 0
3027 0.011876 0.037033 0 0 0
3037 0.001938 0.006621 9 0 0
3047 0.012668 0.007144 4 0 1
3059 0.002585 0.007199 9 0 1
3070 0.011456 0.037217 0 0 0
3080 0.001837 0.007559 9 0 0
3090 0.002575 0.007232 9 0 0
3100 0.011203 0.037355 0 0 0
3109 0.001768 0.007765 9 0 0
3118 0.012136 0.008484 4 0 0
3129 0.001718 0.015951 7 0 0
3139 0.001262 0.016083 7 0 0
3149 0.001344 0.016769 7 0 0
3158 0.007950 0.009445 4 0 0
3168 0.001510 0.015532 7 0 0
3177 0.001216 0.015212 7 0 0
3186 0.001275 0.015269 7 0 0
3199 0.014224 -0.053080 1 0 1
3200 0.022504 -0.051061 8 0 0
3201 0.014225 -0.053077 1 0 0
3212 0.013940 -0.053366 1 0 1
3213 0.014558 -0.051989 8 0 0
3214 0.034436 -0.047838 8 0 0
3224 0.020486 -0.051272 8 0 0
3225 0.022339 -0.050825 8 0 0
3226 0.028180 -0.049372 8 0 0
3241 0.017650 -0.052186 1 0 0
3242 0.022723 -0.050915 8 0 0
3243 0.014960 -0.052366 8 0 0
3256 0.015262 -0.052549 1 0 1
3257 0.023452 -0.050651 8 0 0
3258 0.029258 -0.049407 8 0 0
3272 0.021582 -0.050985 8 0 0
3273 0.021471 -0.051009 8 0 0
3274 0.021510 -0.051002 8 0 0
3284 0.007891 -0.055005 1 0 1
3286 0.008114 -0.054841 1 0 0
3287 0.008116 -0.054841 1 0 0
3289 0.008116 -0.054841 1 0 0
3290 0.008108 -0.054841 1 0 0
3291 0.008114 -0.054841 1 0 0
3297 0.017384 -0.051711 8 0 0
3298 0.023625 -0.050552 8 0 0
3299 0.023764 -0.050540 8 0 1
3313 0.020528 -0.051415 8 0 0
3314 0.016864 -0.051959 1 0 0
3315 0.016912 -0.051944 1 0 0
3328 0.022667 -0.050690 8 0 0
3329 0.015646 -0.052605 1 0 0
3330 0.014580 -0.053211 1 0 0
3341 0.019631 -0.051069 8 0 0
3342 0.014878 -0.052596 1 0 0
3343 0.013783 -0.053189 1 0 0
3353 0.025308 -0.050147 8 0 0
3354 0.014993 -0.052492 1 0 0
3355 0.014296 -0.053253 1 0 0
3365 0.020203 -0.051075 8 0 0
3366 0.014050 -0.052554 1 0 0
3367 0.014324 -0.053000 1 0 0
3376 0.015650 -0.052113 1 0 0
3377 0.013567 -0.053193 1 0 1
3378 0.013715 -0.052607 8 0 0
3387 0.014066 -0.052280 1 0 0
3388 0.012155 -0.053327 1 0 0
3389 0.018750 -0.051291 8 0 0
3392 0.007343 -0.053628 1 0 0
3394 0.011805 -0.054268 1 0 0
3395 0.011793 -0.054266 1 0 0
3401 0.006968 -0.053406 1 0 0
3403 0.010579 -0.054302 1 0 0
3404 0.010566 -0.054300 1 0 0
3409 0.007188 -0.053035 1 0 1
3411 0.014449 -0.053929 1 0 0
3412 0.014441 -0.053930 1 0 0
3423 0.011855 -0.053028 1 0 0
3424 0.021922 -0.051102 8 0 0
3425 0.011450 -0.054232 1 0 1
3434 0.013986 -0.052249 8 0 0
3435 0.016661 -0.053033 1 0 0
3436 0.018255 -0.051856 8 0 0
3447 0.007792 -0.053763 1 0 0
3448 0.031485 -0.048707 8 0 0
3449 0.012487 -0.054381 1 0 1
3460 0.007330 -0.053398 1 0 0
3461 0.018482 -0.052448 1 0 0
3462 0.018538 -0.052427 1 0 1
3471 0.007559 -0.053529 1 0 0
3472 0.017697 -0.052703 1 0 0
3473 0.017788 -0.052653 1 0 0
3484 0.025715 -0.047934 8 0 0
3485 0.030685 -0.048157 8 0 1
3486 0.011820 -0.054312 1 0 1
3497 0.007497 -0.054092 1 0 0
3498 0.010982 -0.054187 1 0 1
3499 0.011044 -0.054149 1 0 1
3508 0.014776 -0.052227 1 0 0
3509 0.022453 -0.050811 8 0 0
3510 0.024694 -0.050460 8 0 0
3522 0.034103 -0.047830 8 0 0
3523 0.013961 -0.052282 1 0 0
3524 0.029219 -0.049307 8 0 0
3535 0.017004 -0.051876 8 0 1
3536 0.024608 -0.050267 8 0 0
3537 0.015972 -0.052440 8 0 0
3550 0.026481 -0.049709 8 0 1
3551 0.022927 -0.050632 8 0 0
3552 0.019286 -0.052347 1 0 1
3567 0.022930 -0.050369 8 0 0
3568 0.023007 -0.050712 8 0 0
3569 0.015778 -0.052385 8 0 0
3583 0.019352 -0.051144 8 0 1
3584 0.015607 -0.052217 1 0 0
3585 0.027470 -0.049758 8 0 0
3598 0.015907 -0.052003 1 0 0
3599 0.020550 -0.051258 8 0 0
3600 0.020844 -0.051433 8 0 0
3614 0.027604 -0.049289 8 0 0
3615 0.021096 -0.051130 8 0 0
3616 0.014555 -0.052879 1 0 1
3629 0.014925 -0.052989 1 0 0
3630 0.021990 -0.050886 8 0 0
3631 0.014924 -0.052990 1 0 0
3637 0.011799 -0.054823 1 0 0
3639 0.011806 -0.054822 1 0 0
3640 0.011814 -0.054823 1 0 0
3646 0.009920 -0.054696 1 0 0
3648 0.009918 -0.054696 1 0 0
3649 0.009915 -0.054698 1 0 0
3654 0.010972 -0.054736 1 0 0
3656 0.010516 -0.054740 1 0 0
3657 0.010514 -0.054741 1 0 0
3663 0.017683 -0.051939 8 0 0
3665 0.017702 -0.051935 8 0 0
3666 0.016801 -0.051780 8 0 0
3676 0.017499 -0.051925 8 0 0
3678 0.017523 -0.051919 8 0 0
3679 0.013886 -0.052048 8 0 0
3688 0.017934 -0.052484 1 0 0
3690 0.020078 -0.051340 8 0 0
3691 0.017872 -0.051507 8 0 0
3701 0.017223 -0.052296 8 0 0
3703 0.014264 -0.052852 1 0 0
3704 0.013308 -0.052252 8 0 1
3713 0.016974 -0.052794 1 0 0
3715 0.013249 -0.052800 1 0 0
3716 0.018746 -0.051502 8 0 0
3725 0.016028 -0.053058 1 0 0
3727 0.013038 -0.052854 1 0 0
3728 0.017248 -0.051731 8 0 0
3741 0.012546 -0.054846 1 0 0
3742 0.012127 -0.054820 1 0 0
3743 0.012128 -0.054820 1 0 0
3752 0.012896 -0.054805 1 0 0
3753 0.012959 -0.054796 1 0 0
3754 0.012978 -0.054793 1 0 0
3765 0.016028 -0.052263 8 0 0
3766 0.020220 -0.051256 8 0 0
3767 0.016095 -0.052249 8 0 1
3780 0.017023 -0.052096 8 0 1
3781 0.019986 -0.051337 8 0 0
3782 0.017023 -0.052096 8 0 1
3797 0.025283 -0.049984 8 0 0
3798 0.022764 -0.050801 8 0 0
3799 0.015438 -0.052480 1 0 0
3813 0.014348 -0.053018 1 0 0
3814 0.021964 -0.051045 8 0 1
3815 0.014349 -0.053018 1 0 0
3828 0.016684 -0.052221 8 0 0
3829 0.016899 -0.051836 8 0 0
3830 0.016723 -0.052212 8 0 0
3843 0.016798 -0.053451 1 0 0
3844 0.026573 -0.049642 8 0 1
3845 0.016812 -0.053447 1 0 0
3858 0.017972 -0.053206 1 0 0
3859 0.016840 -0.051764 1 0 0
3860 0.015627 -0.053575 1 0 1
3872 0.016411 -0.053550 1 0 0
3873 0.014450 -0.051496 8 0 0
3874 0.015473 -0.053335 1 0 0
3885 0.017830 -0.053186 1 0 0
3886 0.023271 -0.050404 8 0 0
3887 0.017830 -0.053186 1 0 0
3899 0.021278 -0.051442 8 0 0
3900 0.020653 -0.051049 8 0 0
3901 0.011337 -0.054268 1 0 0
3912 0.036249 -0.047303 8 0 0
3913 0.014699 -0.053443 1 0 1
3914 0.015309 -0.053411 1 0 0
3925 0.031824 -0.048679 8 0 0
3926 0.014835 -0.054148 1 0 0
3927 0.017384 -0.052194 8 0 0
3940 0.026598 -0.048526 8 0 1
3941 0.016456 -0.053664 1 0 0
3942 0.018205 -0.052882 1 0 0
3954 0.029296 -0.048162 8 0 0
3955 0.015129 -0.053962 1 0 0
3956 0.018061 -0.052481 1 0 0
3967 0.033367 -0.047900 8 0 0
3968 0.014731 -0.054103 1 0 0
3969 0.017344 -0.052080 8 0 0
3976 0.018449 -0.052604 1 0 0
3978 0.017681 -0.052681 1 0 0
3979 0.020297 -0.051279 8 0 0
3991 0.019737 -0.051487 8 0 0
3993 0.016889 -0.052774 1 0 0
3994 0.018986 -0.051443 8 0 0
4005 0.014834 -0.053017 1 0 0
4007 0.017167 -0.052192 8 0 0
4008 0.018568 -0.051589 8 0 0
4018 0.014430 -0.052754 1 0 0
4020 0.016953 -0.053009 1 0 0
4021 0.021779 -0.051016 8 0 0
4032 0.021930 -0.051039 8 0 0
4034 0.017603 -0.052982 1 0 0
4035 0.017603 -0.052983 1 0 0
4047 0.015013 -0.052605 8 0 0
4049 0.016450 -0.052340 8 0 0
4050 0.018086 -0.052200 1 0 1
4061 0.016325 -0.052843 1 0 0
4063 0.014631 -0.052862 1 0 1
4064 0.017817 -0.052944 1 0 0
4074 0.016542 -0.052137 8 0 0
4076 0.017037 -0.053011 1 0 1
4077 0.017037 -0.053011 1 0 1
4090 -0.013288 -0.019369 2 0 0
4106 -0.013243 -0.018196 2 0 0
4121 -0.013130 -0.018014 2 0 0
4136 -0.013105 -0.016975 2 0 0
4150 -0.013330 -0.019172 2 0 1
4165 -0.013284 -0.017917 2 0 0
4179 -0.013150 -0.016823 2 0 0
4192 0.015048 0.006401 4 0 0
4207 0.013059 0.007420 4 0 0
4222 -0.031548 -0.002952 5 0 0
4237 -0.031723 -0.002915 5 0 0
4251 -0.031779 -0.002913 5 0 1
4265 -0.032058 -0.002776 5 0 0
4278 -0.013379 -0.021590 2 0 0
4293 -0.013753 -0.020646 2 0 0
4307 -0.013638 -0.020531 2 0 1
4321 -0.014024 -0.019608 2 0 0
4334 -0.013387 -0.021581 2 0 0
4348 -0.013971 -0.020535 2 0 0
4361 -0.014138 -0.019592 2 0 0
4373 0.011600 0.006154 4 0 0
4388 0.011074 0.006519 4 0 0
4402 0.009901 0.007127 4 0 0
4416 0.009588 0.007468 4 0 0
4429 -0.030410 -0.003090 5 0 0
4443 -0.030339 -0.003073 5 0 0
4456 -0.030232 -0.003052 5 0 0
4469 -0.030080 -0.003018 5 0 1
4481 -0.014124 -0.024560 2 0 0
4495 0.021387 0.005009 4 0 1
4506 0.008802 0.008920 4 0 0
4509 -0.013517 -0.014847 2 0 0
4519 -0.030886 -0.002557 5 0 0
4522 -0.013311 -0.014443 2 0 0
4534 -0.013561 -0.014869 2 0 0
4543 -0.031019 -0.002302 5 0 0
4546 -0.013054 -0.013878 2 0 0
4557 -0.014070 -0.024283 2 0 0
4570 0.020116 0.005009 4 0 0
4580 -0.031214 -0.002369 5 0 0
4583 -0.013349 -0.014231 2 0 0
4594 -0.013585 -0.014807 2 0 0
4602 -0.031879 -0.001889 5 0 0
4605 -0.013102 -0.013769 2 0 0
4615 -0.013025 -0.018835 2 0 0
4631 -0.013040 -0.017976 2 0 0
4646 -0.012988 -0.018105 2 0 0
4661 -0.012959 -0.017146 2 0 0
4675 -0.013174 -0.018989 2 0 1
4690 -0.013178 -0.018114 2 0 0
4704 -0.013146 -0.018329 2 0 0
4718 -0.013070 -0.017348 2 0 1
4731 -0.013172 -0.020004 2 0 0
4746 -0.013153 -0.019474 2 0 0
4761 -0.012928 -0.018848 2 0 0
4775 0.007949 0.007786 4 0 0
4790 0.007598 0.008176 4 0 0
4804 0.004998 0.006068 9 0 1
4818 0.004568 0.006928 9 0 1
4831 -0.013401 -0.021203 2 0 0
4846 -0.014015 -0.020091 2 0 1
4860 -0.013576 -0.020557 2 0 0
4874 -0.014144 -0.019360 2 0 1
4887 -0.013525 -0.021365 2 0 0
4901 -0.014104 -0.020358 2 0 0
4914 -0.013660 -0.020951 2 0 0
4927 -0.014276 -0.020052 2 0 0
4939 -0.014289 -0.020278 2 0 0
4953 -0.014274 -0.019976 2 0 0
4967 -0.014020 -0.019239 2 0 1
4980 0.005969 0.002431 9 0 1
4994 0.005093 0.002816 9 0 0
5007 0.004693 0.003052 9 0 0
5020 0.004412 0.003898 9 0 1
5032 -0.013778 -0.017210 2 0 0
5043 -0.013571 -0.016208 2 0 0
5046 -0.013153 -0.014236 2 0 0
5056 0.000159 0.005549 9 0 1
5059 -0.013097 -0.013976 2 0 0
5071 -0.013623 -0.016281 2 0 1
5081 -0.013251 -0.015291 2 0 0
5084 -0.012944 -0.013857 2 0 0
5096 -0.013399 -0.014557 2 0 0
5108 0.014381 0.005044 4 0 0
5117 0.000081 0.007590 7 0 1
5120 -0.012818 -0.013594 2 0 0
5128 -0.013333 -0.015771 2 0 0
5131 -0.013368 -0.014333 2 0 0
5140 0.000311 0.006043 9 0 0
5143 -0.013194 -0.013876 2 0 1
5151 -0.012910 -0.014693 2 0 1
5154 -0.013176 -0.014027 2 0 0
5165 -0.013651 -0.014983 2 0 0
5173 0.000223 0.009160 7 0 0
5176 -0.013111 -0.013811 2 0 0
5186 -0.014020 -0.020323 2 0 0
5201 -0.013718 -0.021065 2 0 0
5216 -0.013887 -0.020205 2 0 0
5230 -0.014057 -0.020653 2 0 0
5245 -0.013982 -0.019361 2 0 0
5259 -0.013815 -0.020239 2 0 1
5273 -0.013802 -0.019166 2 0 0
5286 0.008706 0.006506 4 0 0
5301 0.005029 0.003398 9 0 0
5315 0.008433 0.006754 4 0 0
5329 0.005000 0.003757 9 0 0
5342 0.012782 0.007978 4 0 0
5357 0.012390 0.008629 4 0 0
5372 0.014592 0.007070 4 0 0
5387 0.012658 0.008025 4 0 1
5401 -0.031498 -0.002961 5 0 0
5416 -0.031844 -0.002897 5 0 1
5430 -0.032445 -0.002688 5 0 0
5444 -0.031634 -0.002933 5 0 0
5458 -0.031914 -0.002853 5 0 0
5471 -0.031292 -0.002604 5 0 0
5484 -0.014809 -0.021852 2 0 1
5498 -0.013676 -0.022499 2 0 0
5512 -0.014603 -0.021626 2 0 0
5525 -0.014771 -0.020951 2 0 0
5538 -0.014080 -0.021913 2 0 0
5551 -0.014563 -0.021272 2 0 0
5563 0.011300 0.004698 4 0 0
5577 0.005642 0.002302 9 0 0
5590 0.011089 0.004774 4 0 0
5603 0.009650 0.005726 4 0 0
5615 0.010229 0.007982 4 0 0
5629 0.012372 0.008191 4 0 0
5643 0.015420 0.006200 4 0 0
5657 0.010150 0.007995 4 0 0
5670 -0.031029 -0.003032 5 0 0
5684 -0.030508 -0.003062 5 0 0
5697 -0.031761 -0.002899 5 0 0
5710 -0.031153 -0.003009 5 0 0
5723 -0.030735 -0.003013 5 0 0
5735 -0.031578 -0.002927 5 0 0
5747 0.017027 0.005791 4 0 0
5761 -0.014447 -0.017913 2 0 1
5771 -0.030655 -0.002607 5 0 1
5774 -0.014152 -0.017072 2 0 0
5786 0.017152 0.005750 4 0 0
5799 -0.014347 -0.017686 2 0 0
